0,1,2,3,4,5
105523,Claudio,Fortuna,L,19900419.0,ITA
105526,Jan Lennard,Struff,R,19900425.0,GER
105529,Carlos,Gomez Herrera,R,19900430.0,ESP
105534,Erik,Crepaldi,L,19900504.0,ITA
105539,Evgeny,Donskoy,R,19900509.0,RUS
105542,Bastian,Trinker,R,19900511.0,AUT
105545,Mikhail,Fufygin,U,19900513.0,RUS
105550,Guido,Pella,L,19900517.0,ARG
105554,Daniel,Evans,R,19900523.0,GBR
105557,Gibril,Diarra,U,19900526.0,AUT
105559,Jonathan,Eysseric,L,19900527.0,FRA
105560,Kelsey,Stevenson,R,19900529.0,CAN
105561,Alessandro,Giannessi,L,19900530.0,ITA
105566,Shahin,Khaledan,R,19900607.0,IRI
105575,Ricardas,Berankis,R,19900621.0,LTU
105577,Vasek,Pospisil,R,19900623.0,CAN
105578,Cristian,Rodriguez,R,19900624.0,COL
105583,Dusan,Lajovic,R,19900630.0,SRB
105585,Ze,Zhang,R,19900704.0,CHN
105586,Alexander,Lazov,U,19900709.0,BUL
105587,Tom,Kocevar Desman,R,19900710.0,SLO
105589,Gerald,Melzer,L,19900713.0,AUT
105590,Uladzimir,Ignatik,R,19900714.0,BLR
105593,Yannick,Vandenbulcke,R,19900718.0,BEL
105595,Dayne,Kelly,U,19900723.0,AUS
105596,Jan,Satral,R,19900724.0,CZE
105598,Peter,Goldsteiner,U,19900731.0,AUT
105607,Gabriel Alejandro,Hidalgo,R,19900806.0,ARG
105613,Norbert,Gombos,R,19900813.0,SVK
105614,Bradley,Klahn,L,19900820.0,USA
105621,Min Kyu,Song,U,19900825.0,KOR
105623,Costin,Paval,L,19900901.0,ROU
105626,Takanyi,Garanganga,R,19900906.0,ZIM
105633,Mohamed,Safwat,R,19900919.0,EGY
105634,Viktor,Galovic,R,19900919.0,ITA
105641,Blaz,Rola,L,19901005.0,SLO
105643,Federico,Delbonis,L,19901005.0,ARG
105649,Cedrik Marcel,Stebe,L,19901009.0,GER
105654,Daniel,Nguyen,U,19901016.0,USA
105655,Hiroki,Moriya,R,19901016.0,JPN
105656,Marcelo,Arevalo,R,19901017.0,ESA
105657,Marius,Copil,R,19901017.0,ROU
105662,Tomislav,Jotovski,R,19901027.0,MKD
105668,Jerzy,Janowicz,R,19901113.0,POL
105670,Karunuday,Singh,R,19901119.0,IND
105671,Gastao,Elias,R,19901124.0,POR
105676,David,Goffin,R,19901207.0,BEL
105677,Nikola,Cacic,R,19901207.0,SRB
105679,Eduardo,Struvay,R,19901217.0,COL
105682,Alessandro,Petrone,R,19901223.0,ITA
105683,Milos,Raonic,R,19901227.0,CAN
105688,Manuel,Sanchez,R,19910105.0,MEX
105691,Scott,Griekspoor,R,19910110.0,NED
105692,Alessandro,Bega,R,19910111.0,ITA
105697,Marco,Bortolotti,R,19910121.0,ITA
105700,Jose,Pereira,R,19910126.0,BRA
105714,Hugo,Nys,R,19910216.0,MON
105716,Tom,Jomby,R,19910218.0,FRA
105721,Chandril,Sood,R,19910220.0,IND
105723,Andrey,Kuznetsov,R,19910222.0,RUS
105726,Yannik,Reuter,R,19910306.0,BEL
105731,Steven,Diez,R,19910317.0,CAN
105732,Pierre Hugues,Herbert,R,19910318.0,FRA
105737,Kaza,Vinayak Sharma,R,19910328.0,IND
105738,Tsung Hua,Yang,R,19910329.0,TPE
105747,Karim Mohamed,Maamoun,R,19910409.0,EGY
105751,Roberto,Ortega Olmedo,U,19910414.0,ESP
105757,Sandro,Ehrat,R,19910418.0,SUI
105777,Grigor,Dimitrov,R,19910516.0,BUL
105778,Tobias,Simon,R,19910518.0,GER
105780,Victor,Nunez,R,19910525.0,CHI
105782,Enrique,Lopez Perez,R,19910603.0,ESP
105786,Tom,Schonenberg,R,19910615.0,GER
105787,Hiroyasu,Ehara,R,19910618.0,JPN
105788,Jakob,Sude,U,19910618.0,GER
105790,Yong Kyu,Lim,U,19910618.0,KOR
105791,Mauricio,Astorga,L,19910619.0,MEX
105797,Marvin,Netuschil,R,19910702.0,GER
105806,Mirza,Basic,R,19910712.0,BIH
105807,Pablo,Carreno Busta,R,19910712.0,ESP
105810,Shuichi,Sekiguchi,R,19910715.0,JPN
105812,David,Agung Susanto,U,19910721.0,INA
105814,Maximilian,Neuchrist,R,19910722.0,AUT
105815,Tennys,Sandgren,R,19910722.0,USA
105819,Guido,Andreozzi,R,19910805.0,ARG
105821,Riccardo,Bellotti,R,19910805.0,ITA
105826,Alejandro,Gomez Gb42,U,19910814.0,COL
105827,Laurynas,Grigelis,R,19910814.0,LTU
105836,Jules,Marie,R,19910901.0,FRA
105841,Lorenzo,Giustino,R,19910910.0,ITA
105842,Di,Wu,R,19910914.0,CHN
105843,Ljubomir,Celebic,U,19910915.0,MNE
105844,Joffrey,De Schepper,U,19910916.0,FRA
105849,Rodrigo,Sanchez,U,19910919.0,PER
105851,Florent,Diep,U,19910924.0,FRA
105853,Tigre,Hank,U,19910930.0,MEX
105855,Mousheg,Hovhannisyan,U,19911004.0,USA
105860,Tak Khunn,Wang,R,19911012.0,FRA
105868,Wilson,Leite,R,19911106.0,BRA
105869,Gengo,Kikuchi,U,19911107.0,JPN
105870,Yannick,Hanfmann,U,19911113.0,GER
105871,Sekou,Bangoura,R,19911118.0,USA
105872,Christian,Lindell,R,19911120.0,SWE
105874,Albano,Olivetti,R,19911124.0,FRA
105877,Emilio,Gomez,R,19911128.0,ECU
105880,Filipe,Brandao,U,19911213.0,BRA
105882,Stefano,Travaglia,U,19911218.0,ITA
105892,Alexandr,Igoshin,U,19920110.0,RUS
105894,Javier,Marti,R,19920111.0,ESP
105895,Omar,Giacalone,R,19920111.0,ITA
105897,Alexander,Zhurbin,U,19920114.0,RUS
105899,Martin,Cuevas,R,19920114.0,URU
105902,James,Duckworth,R,19920121.0,AUS
105905,Danilo,Petrovic,R,19920124.0,SRB
105906,Kevin,Krawietz,R,19920124.0,GER
105911,Andrea,Collarini,L,19920131.0,ARG
105916,Marton,Fucsovics,R,19920208.0,HUN
105917,Gianni,Mina,R,19920209.0,FRA
105932,Nikoloz,Basilashvili,R,19920223.0,GEO
105933,Roberto,Quiroz,L,19920223.0,ECU
105934,Chuhan,Wang,R,19920224.0,CHN
105936,Filip,Krajinovic,R,19920227.0,SRB
105938,Antoine,Escoffier,U,19920229.0,FRA
105943,Federico,Gaio,R,19920305.0,ITA
105944,Juan Sebastian,Gomez,R,19920305.0,COL
105948,Federico,Coria,R,19920309.0,ARG
105952,Renzo,Olivo,R,19920315.0,ARG
105954,Peter,Nagy,U,19920317.0,HUN
105958,Richard,Muzaev,R,19920321.0,RUS
105960,Evan,King,L,19920325.0,USA
105963,Arthur,De Greef,R,19920327.0,BEL
105967,Henri,Laaksonen,R,19920331.0,SUI
105974,Maverick,Banes,R,19920410.0,AUS
105984,Seong Gook,Oh,R,19920423.0,KOR
105985,Darian,King,R,19920426.0,BAR
105986,Colin,Van Beem,U,19920428.0,NED
105990,Francisco,Dias,R,19920501.0,POR
105992,Ryan,Harrison,R,19920507.0,USA
105996,Alex,Blumenberg,U,19920515.0,BRA
106000,Damir,Dzumhur,R,19920520.0,BIH
106005,Constant,Lestienne,R,19920523.0,FRA
106006,Agustin,Velotti,R,19920524.0,ARG
106009,Justin,Eleveld,R,19920526.0,NED
106012,Kunal,Anand,U,19920602.0,IND
106016,Yanais,Laurent,R,19920606.0,FRA
106021,Dragos,Dima,R,19920616.0,ROU
106022,Matej,Sabanov,R,19920625.0,CRO
106031,Raymond,Sarmiento,R,19920724.0,USA
106032,Facundo,Arguello,R,19920804.0,ARG
106034,Yasutaka,Uchiyama,R,19920805.0,JPN
106040,Peter,Heller,R,19920812.0,GER
106041,Stefan,Micov,R,19920812.0,MKD
