0,1,2,3,4,5
103582,Michael,Berrer,L,19800701.0,GER
103590,Michael,Quintero,R,19800711.0,COL
103592,Jerome,Haehnel,R,19800714.0,FRA
103594,Oliver,Marach,R,19800716.0,AUT
103598,Xavier,Malisse,R,19800719.0,BEL
103599,Jordi,Marse Vidri,U,19800721.0,ESP
103600,Mohammad,Ghareeb,R,19800722.0,KUW
103602,Fernando,Gonzalez,R,19800729.0,CHI
103607,Victor,Estrella,R,19800802.0,DOM
103608,Mario,Munoz Bejarano,R,19800803.0,ESP
103611,Giancarlo,Petrazzuolo,R,19800807.0,ITA
103612,Alexey,Kedryuk,R,19800808.0,KAZ
103623,Jacob,Adaktusson,R,19800831.0,SWE
103625,Adriano,Biasella,R,19800901.0,ITA
103626,Tomas,Tenconi,R,19800903.0,ITA
103630,Martijn,Van Haasteren,R,19800912.0,AHO
103632,Luis,Horna,R,19800914.0,PER
103636,Federico,Torresi,R,19800927.0,ITA
103637,Marcelo,Amador,U,19800927.0,MEX
103641,Cesar,Ferrer Victoria,L,19801008.0,ESP
103643,Lauri,Kiiski,R,19801010.0,FIN
103646,Lars,Uebel,R,19801014.0,GER
103650,Alex,Satschko,R,19801112.0,GER
103651,Alexander,Satschko,R,19801112.0,GER
103653,Jasper,Smit,R,19801117.0,NED
103655,Boris Nicola,Bakalov,L,19801123.0,BUL
103656,Albert,Montanes,R,19801126.0,ESP
103657,Ivo,Klec,R,19801128.0,SVK
103662,Holger,Fischer,R,19801211.0,GER
103665,Ryan,Haviland,U,19801212.0,USA
103672,Ricardo,Mello,L,19801221.0,BRA
103673,Clayton,Almeida,R,19801226.0,BRA
103675,Diego,Junqueira,L,19801228.0,ARG
103676,Michael,Yani,R,19801231.0,USA
103679,Jeroen,Masson,R,19810102.0,BEL
103682,Kyu Tae,Im,R,19810106.0,KOR
103684,Benedikt,Dorsch,R,19810110.0,GER
103687,Enrico,Burzi,U,19810114.0,ITA
103689,Guillermo,Carry,L,19810115.0,ARG
103691,Baptiste,Dupuy,L,19810116.0,FRA
103693,Thierry,Ascione,R,19810117.0,FRA
103694,Olivier,Rochus,R,19810118.0,BEL
103695,Marc Marco,Ripoll,R,19810120.0,ESP
103701,Diego,Hartfield,R,19810131.0,ARG
103702,Stefano,Ianni,R,19810131.0,ITA
103704,Vladimir,Obradovic,R,19810204.0,SRB
103708,Jaroslav,Pospisil,R,19810209.0,CZE
103709,Kristian,Pless,R,19810209.0,DEN
103713,Christoph,Palmanshofer,L,19810218.0,AUT
103714,Andreas,Vinciguerra,L,19810219.0,SWE
103716,Uros,Vico,R,19810219.0,ITA
103717,Jedrzej,Zarski,R,19810220.0,POL
103718,David,Martin,L,19810222.0,USA
103720,Lleyton,Hewitt,R,19810224.0,AUS
103722,Florent,Serra,R,19810228.0,FRA
103723,Julien,Maes,R,19810228.0,FRA
103724,Jose Manuel,Garcia Rodriguez,R,19810301.0,ESP
103726,Jean Christophe,Faurel,R,19810306.0,FRA
103728,Christian,Magg,R,19810308.0,AUT
103730,Jonathan,Marray,R,19810310.0,GBR
103734,Trystan,Meniane,U,19810316.0,FRA
103739,Jose,De Armas,R,19810325.0,VEN
103742,Diego,Cristin,R,19810405.0,ARG
103746,Miguel,Gallardo Valles,R,19810408.0,MEX
103747,Dominik,Meffert,R,19810409.0,GER
103748,Jan,Minar,R,19810409.0,CZE
103750,Ladislav,Chramosta,R,19810410.0,CZE
103752,Simon,Greul,R,19810413.0,GER
103756,Stefano,Mocci,R,19810421.0,ITA
103758,Taylor,Dent,R,19810424.0,USA
103760,Haluk,Akkoyun,R,19810425.0,TUR
103761,Tomas,Cakl,R,19810425.0,CZE
103762,John Paul,Fruttero,R,19810430.0,USA
103763,Martin,Slanar,R,19810501.0,AUT
103772,Matteo,Galli,U,19810512.0,ITA
103775,Felipe,Parada,R,19810516.0,CHI
103776,Alexei,Filenkov,R,19810517.0,RUS
103781,Jurgen,Melzer,L,19810522.0,AUT
103782,Rameez,Junaid,R,19810525.0,AUS
